food_item,calories,protein,fat,carbohydrates,fiber,sugar,category
Apple,52,0.3,0.2,13.8,2.4,10.4,Fruit
Banana,89,1.1,0.3,22.8,2.6,12.2,Fruit
Orange,47,0.9,0.1,11.8,2.4,9.4,Fruit
Mango,60,0.8,0.4,15.0,1.6,13.7,Fruit
Grapes,67,0.6,0.4,17.2,0.9,16.3,Fruit
Watermelon,30,0.6,0.2,7.6,0.4,6.2,Fruit
Strawberry,32,0.7,0.3,7.7,2.0,4.9,Fruit
Pineapple,50,0.5,0.1,13.1,1.4,9.9,Fruit
Papaya,43,0.5,0.3,10.8,1.7,7.8,Fruit
Kiwi,61,1.1,0.5,14.7,3.0,9.0,Fruit
Avocado,160,2.0,14.7,8.5,6.7,0.7,Fruit
Pear,57,0.4,0.1,15.2,3.1,9.8,Fruit
Peach,39,0.9,0.3,9.5,1.5,8.4,Fruit
Blueberry,57,0.7,0.3,14.5,2.4,10.0,Fruit
Cherry,50,1.0,0.3,12.2,1.6,8.5,Fruit
Lemon,29,1.1,0.3,9.3,2.8,2.5,Fruit
Pomegranate,83,1.7,1.2,18.7,4.0,13.7,Fruit
Guava,68,2.6,1.0,14.3,5.4,8.9,Fruit
Dates,282,2.5,0.4,75.0,8.0,63.4,Fruit
Fig,74,0.8,0.3,19.2,2.9,16.3,Fruit
Broccoli,34,2.8,0.4,6.6,2.6,1.7,Vegetable
Carrot,41,0.9,0.2,9.6,2.8,4.7,Vegetable
Spinach,23,2.9,0.4,3.6,2.2,0.4,Vegetable
Tomato,18,0.9,0.2,3.9,1.2,2.6,Vegetable
Cucumber,15,0.6,0.1,3.6,0.5,1.7,Vegetable
Bell Pepper,31,1.0,0.3,6.0,2.1,4.2,Vegetable
Cauliflower,25,1.9,0.3,4.9,2.0,1.9,Vegetable
Onion,40,1.1,0.1,9.3,1.7,4.2,Vegetable
Potato,87,1.9,0.1,20.0,1.8,0.9,Vegetable
Sweet Potato,86,1.6,0.1,20.1,3.0,4.2,Vegetable
Cabbage,25,1.3,0.1,5.8,2.5,3.2,Vegetable
Peas,81,5.4,0.4,14.5,5.7,5.7,Vegetable
Corn,86,3.3,1.4,18.7,1.8,6.3,Vegetable
Beet,43,1.6,0.2,9.6,2.8,6.8,Vegetable
Celery,16,0.7,0.2,3.0,1.6,1.3,Vegetable
Mushroom,22,3.1,0.3,3.3,1.0,2.0,Vegetable
Eggplant,25,1.0,0.2,5.9,3.0,2.4,Vegetable
Lettuce,15,1.4,0.2,2.9,1.3,1.2,Vegetable
Zucchini,17,1.2,0.3,3.1,1.0,2.5,Vegetable
Asparagus,20,2.2,0.1,3.9,2.1,1.9,Vegetable
Pumpkin,26,1.0,0.1,6.5,0.5,2.8,Vegetable
Radish,16,0.7,0.1,3.4,1.6,2.0,Vegetable
Garlic,149,6.4,0.5,33.1,2.1,1.0,Vegetable
Ginger,80,1.8,0.8,17.8,2.0,1.7,Vegetable
Kale,49,4.3,0.9,8.8,3.6,2.3,Vegetable
Chicken Breast,165,31.0,3.6,0.0,0.0,0.0,Meat
Chicken Thigh,209,26.0,12.0,0.0,0.0,0.0,Meat
Beef Steak,271,26.0,17.0,0.0,0.0,0.0,Meat
